"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-329068152-1409082233-1801674531-1155","C:\Users\dott.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-1155",
"S-1-5-21-329068152-1409082233-1801674531-21121","C:\Users\jroth.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-21121",
"S-1-5-21-329068152-1409082233-1801674531-19125","C:\Users\cjohnson.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-19125",
"S-1-5-21-329068152-1409082233-1801674531-1133","C:\Users\tfassler.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-1133",
"S-1-5-21-329068152-1409082233-1801674531-19140","C:\Users\sjackson.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-19140",
"S-1-5-21-329068152-1409082233-1801674531-19142","C:\Users\bbagy.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-19142",
"S-1-5-21-329068152-1409082233-1801674531-4213","C:\Users\jagoebel.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-4213",
"S-1-5-21-329068152-1409082233-1801674531-19136","C:\Users\jjones.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-19136",
"S-1-5-21-329068152-1409082233-1801674531-1168","C:\Users\svargo.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-1168",
"S-1-5-21-329068152-1409082233-1801674531-1140","C:\Users\gheimos.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-1140",
"S-1-5-21-329068152-1409082233-1801674531-4128","C:\Users\psmith.WORKGROUP","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-4128",
"S-1-5-21-329068152-1409082233-1801674531-4254","C:\Users\rhe","RCFPD-H1FF-D","S-1-5-21-329068152-1409082233-1801674531-4254",
